input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,matched_veridion_id,matched_company_name,company_legal_names,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,linkedin_url,website_url,match_score,match_status,review_needed
15,ADECCO A/S,DK,Denmark,Capital Region Of Denmark,Kongens Lyngby,3d1f6d90-1579-11ee-8c08-a59aa7cafccb,Adecco Hillerød,,DK,Denmark,Capital Region Of Denmark,Hillerød,3400,Frederiksgade,7,,,97.1,Matched,False
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,410a4cc3-93e5-11eb-9937-4fab995bf8ff,Adecco Singapore,Adecco Personnel Pte Ltd.,SG,Singapore,Central,Singapore,228208,Scotts Road,1,,http://www.adecco.com.sg/,100.0,Matched,False
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,IE,Ireland,Leinster,Dublin,099ed3a8-1afb-11ec-a882-057f42292856,Adobe Systems Software Ireland,,IE,Ireland,Leinster,Dublin 24,,Riverwalk,4-6,,,100.0,Matched,False
18,ADVANCED DIGITAL BROADCAST SA,CH,Switzerland,Geneva,Bellevue,47b15560-93e5-11eb-91fb-73d498260b10,ADB,ADB Italia S.r.l. | Advanced Digital Broadcast SA.,CH,Switzerland,Geneva,Pregny-Chambésy,,,,https://pl.linkedin.com/company/adb,https://www.adbglobal.com/,100.0,Matched,False
19,Advanced Network Solutions Sdn Bhd,MY,Malaysia,Selangor,Shah Alam,c192c524-f998-11ed-9fc2-73bd6ff4f4c6,Advanced Intelligent Network Sdn. Bhd.,Advanced Intelligent Network Sdn. Bhd.,MY,Malaysia,Selangor,Sungai Buloh,47000,Jalan BRP 1/2,12-b,,,100.0,Matched,False
20,ADVANSIA AS,NO,Norway,Oslo,Oslo,67227e70-0e27-11ec-a16e-b9ce2504ed80,Advansia AS,,NO,Norway,Trøndelag,Trondheim,7042,Bassengbakken,1,,https://afadvansia-prosjektweb.com/,100.0,Matched,False
21,AEGER GROUP AS,NO,Norway,Oslo,Oslo,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger Group,,NO,Norway,Oslo,Oslo,0157,Nedre Slottsgate,11,https://no.linkedin.com/company/aeger-group,https://www.aeger.no/,100.0,Matched,False
22,AFFIRMED NETWORKS INC,US,United States,Massachusetts,Acton,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,Affirmed Networks,,US,United States,Massachusetts,Acton,01720,Nagog Park,35,http://www.linkedin.com/company/affirmed-networks,https://www.affirmednetworks.com/,100.0,Matched,False
23,Agg Power Technology (Fuzhou) Co Ltd.,CN,China,Fujian,Fuzhou City,01347127-93e5-11eb-aa66-9b8d95e2171b,AGG power,AGG POWER TECHNOLOGY UK CO. LTD.,AE,United Arab Emirates,Dubai,,PO Box 261758,N305 Street,"Office 1620, Tower A",,http://www.aggpower.com/,84.4,Needs Review,True
24,AIA Berhad,MY,Malaysia,,Kuala Lumpur,25f047fc-93e5-11eb-a736-0f5b20ecb2f1,AIA PRS,,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,50450,Ampang Road,99,,http://www.aia-prs.com.my/en/help-and-support/contact-us.html,83.8,Needs Review,True
25,AIG EUROPE S.A. NUF,NO,Norway,Oslo,Oslo,379975dc-93e5-11eb-90d2-e3355a7e800b,AIG Norge,AIG Europe S.A.,NO,Norway,Oslo,Oslo,0160,Rosenkrantz’ Gate,22,https://www.linkedin.com/company/aig,https://www.aig.no/,100.0,Matched,False
26,AKTIESELSKABET RODOVRE CENTRUM,DK,Denmark,Capital Region Of Denmark,Rødovre Municipality,e41ec36b-93e4-11eb-8859-29e7c34dee35,Rødovre Centrum,,DK,Denmark,Capital Region Of Denmark,Rødovre Municipality,2610,Rødovre Centrum,,http://www.linkedin.com/company/a-s-r-dovre-centrum,https://roedovrecentrum.dk/,100.0,Matched,False
27,ALLEN OVERY SHEARMAN STERLING LLP,GB,United Kingdom,England,London,19609053-0bbc-11ee-900c-9bee0d280070,A&O Shearman,Allen Overy Shearman Sterling LLP.,GB,United Kingdom,England,London,E1 6AD,Bishops Square,,https://uk.linkedin.com/company/aoshearman,https://www.aoshearman.com/en,100.0,Matched,False
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,SG,Singapore,Central,Singapore,1a9cb61c-0d2d-11ec-8853-310171c0600e,Altair Aesthetic,Altair Aesthetic Pte Ltd.,SG,Singapore,Central,Singapore,178957,,,,https://altairaesthetic.com/,82.4,Needs Review,True
29,"AMAZON WEB SERVICES, INC.",US,United States,Washington,Seattle,c89d4e1b-bfde-11ec-92f4-876998402e2b,Amazon Web Services | API Gateway,,US,United States,Washington,Seattle,,,,http://www.linkedin.com/company/aws-api-gateway,,100.0,Matched,False
30,AMAZON WEB SERVICES EMEA SARL,LU,Luxembourg,,,d7db1d69-93e4-11eb-90d2-e3355a7e800b,TKBEL,Amazon Web Service EMEA SARL,LU,Luxembourg,Canton Diekirch,Ettelbruck,9053,Avenue John F. Kennedy,38,https://www.linkedin.com/company/tkbel,https://tkbel.fr/,100.0,Matched,False
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",NO,Norway,Oslo,Oslo,00b299f2-6d0d-11ec-bc58-f126260d7c32,Norwegian Seafood Supply,,NO,Norway,Oslo,Oslo,0178,Deichmans Gate,19,,https://norwegian-seafoodsupply.com/,80.0,Needs Review,True
32,AMDOCS DEVELOPMENT LIMITED,CY,Cyprus,Limassol District,Limassol,0d6b95cb-8ab9-11ec-9b5d-67d3995ac824,Amdocs Offices,Amdocs Inc.,US,United States,Missouri,St. Louis,63141,Maryville Centre Drive,625,,,50.0,Unmatched,False
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",DK,Denmark,Capital Region Of Denmark,Copenhagen,0078e966-93e5-11eb-b997-8dd98d09cf25,American Steakhouse,,DK,Denmark,,,,,,,https://butcher.dk/,58.3,Unmatched,False
34,American Express Europe SA (Norway),NO,Norway,Oslo,Oslo,d791fd63-e113-11ec-a72c-1538a9321a8e,American Express Company AS,,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,30,,http://www.americanexpress.no/?opi=79508299&sa=U&ved=0ahUKEwiJ-N_liKSMAxX2TGwGHZRzErcQ61gIEigO&usg=AOvVaw27wLoj6gX0wm9eKmXSSFGk,100.0,Matched,False
35,ANALYSYS MASON AS,NO,Norway,Oslo,Oslo,e97d1f55-93e4-11eb-be3a-7f925cb94351,Analysys Mason,Analysys Mason Limited,IT,Italy,Lombardy,Milan,20121,Corso Venezia,29,https://www.linkedin.com/company/analysys-mason,https://www.analysysmason.com/,90.3,Matched,False
36,MASON SITE FINDER LIMITED,GB,United Kingdom,England,Salford,1dd418f5-e3d2-11ed-ac12-fbc94f3c13a4,R Mason Site Services Ltd.,R Mason Site Services Ltd.,GB,United Kingdom,England,Lincoln,LN6 9DU,Thorpe Lane,Poplar Farm,,,96.0,Matched,False
37,ANDCO A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,00a33bd7-a770-11ef-ae5f-f5de7c6da93e,AndCo,,AU,Australia,,,,,,,https://andco.com.au/,100.0,Matched,False
38,Annalect Denmark A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,bece9f0e-e4d2-11ec-a140-3f2eb8ef49f8,Annalect,,DK,Denmark,Capital Region Of Denmark,Copenhagen,2100,Midtermolen,3,,https://annalect-data.info/,100.0,Matched,False
39,Anne Mette Lund,DK,Denmark,Region Of Southern Denmark,Haderslev,02115b2b-65f6-11ef-a567-7774974824cc,Anne Mette Høy,,DK,Denmark,Region Of Southern Denmark,Vejle,7100,Junovej,10,,http://mindre-stress.dk/?opi=79508299&sa=U&ved=0ahUKEwi4mfaSm-SMAxVfE1kFHS_HLHoQ61gIEigP&usg=AOvVaw21SI8OJlgK9_li2AWT-KF8,100.0,Matched,False
40,ANRITSU A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,172e7ea7-0523-11ec-a64f-cb86dbe4969b,ANRITSU,,,,,,,,,,https://tiancunwu.com/,100.0,Matched,False
41,Aon Assessment Denmark A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,00854562-93e5-11eb-90d2-e3355a7e800b,Globe Tracker,Globe Tracker ApS. | Globe Tracker Singapore Pte. Ltd.,DK,Denmark,Capital Region Of Denmark,Copenhagen,1401,Strandgade,91,http://www.linkedin.com/company/globetracker,https://www.globetracker.com/,70.1,Unmatched,False
42,AON NORWAY AS,NO,Norway,Oslo,Oslo,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,Aon Norway,,NO,Norway,Oslo,Oslo,0158,Stortingsgata,6,http://www.linkedin.com/company/aon-norge-as,,100.0,Matched,False
43,APPDYNAMICS UK LTD,GB,United Kingdom,England,London,f7b252d4-fa1c-11ec-83db-47cce081a4ab,AppDynamic,AppDynamics International Ltd.,GB,United Kingdom,England,Feltham,TW14 8HA,New Square,9-11,https://www.linkedin.com/company/appdynamics,http://stluciakitefiesta.com/,100.0,Matched,False
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,IE,Ireland,,,e4744ce0-e02d-11ec-8554-6d1a894ea0c5,Naturliga Bloggen,Distribution International Ltd.,IE,Ireland,Munster,Cork,,,,,http://naturligabloggen.blogspot.com/,100.0,Matched,False
45,APPLE DISTRIBUTION INTERNATIONAL LIMITED,IE,Ireland,Munster,Cork,0a429d82-bdc3-11ef-8a6d-a948d3a65436,Android CentralAndroid,Apple Distribution International Limited,US,United States,New York,New York,10036,West 42nd Street,130,,https://centralandroidinfo.netlify.app/,100.0,Matched,False
46,Apple Malaysia Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,50c0e708-22bf-11ec-9024-ef7bc13965aa,Apple Malaysia Sdn Bhd.,Apple Malaysia Sdn Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,50470,Jalan Stesen Sentral 2,,,,100.0,Matched,False
47,Apple South Asia (Thailand) Co Ltd,TH,Thailand,Bangkok,Bangkok,05227438-93e5-11eb-8859-29e7c34dee35,Asia biogas,Asia Biogas Co Ltd. | Asia Biogas Thailand Co. Ltd.,TH,Thailand,Bangkok,Pathum Wan,10330,Lang Suan Road,62,http://www.linkedin.com/company/asia-biogas-group,http://www.asiabiogas.com/,92.1,Matched,False
48,ARELION NORWAY AS,NO,Norway,Oslo,Oslo,0233ab52-aa7c-11ec-bce7-45193b30c3a8,Mixto As,,NO,Norway,Oslo,Oslo,0277,Drammensveien,127,http://www.linkedin.com/company/mixto-as,https://www.mixto.no/,72.0,Unmatched,False
49,Arelion AB,SE,Sweden,Stockholm County,Stockholm,34818680-89c1-11ec-a621-3f13cdb5ccc4,Arelion,Arelion AB. | Arelion UK Ltd. | Arelion Singapore Pte Ltd. | Arelion Hong Kong Ltd.,SE,Sweden,Stockholm County,Farsta,,,,https://www.linkedin.com/company/arelion,https://arelion.com/,100.0,Matched,False
50,ARY COMMUNICATIONS LIMITED,PK,Pakistan,Sindh,Karachi,7f6e1749-93e4-11eb-919a-b3f9a5ad205c,Unisoft Computer & Communication,Unisoft Computers & Communications Limited,PK,Pakistan,Punjab,Lahore,54000,Ghalib Road,,http://www.linkedin.com/company/unisoft-computers-&-communications-limited,http://www.unisoftcc.com/,92.6,Matched,False
51,"Ascio Technologies, Corp. Danmark - Filial af Ascio Technologies Corp. Canada",DK,Denmark,Capital Region Of Denmark,Gentofte Municipality,c7288490-93e4-11eb-8859-29e7c34dee35,Ascio Technologies,Ascio Technologies Corp.,DK,Denmark,Capital Region Of Denmark,Copenhagen,2300,Ørestads Boulevard,108,http://www.linkedin.com/company/ascio,https://www.ascio.com/,88.4,Matched,False
52,ASIAINFO DENMARK ApS,DK,Denmark,Capital Region Of Denmark,Copenhagen,0054d420-11a8-11ec-a2c4-217a4c183987,Birk Denmark,Birk Denmark ApS.,DK,Denmark,Central Denmark Region,Skive Municipality,7870,Grynderupvej,46,,https://birkdenmark.com/,93.8,Matched,False
53,Atea A/S,DK,Denmark,Capital Region Of Denmark,Ballerup,431d0020-93e5-11eb-be5a-4f810ab55f2e,Atea Danmark,Atea ASA. | Atea Finans A/S.,DK,Denmark,Capital Region Of Denmark,Ballerup,2750,Lautrupvang,6,http://www.linkedin.com/company/atea-danmark,http://www.atea.dk/,90.0,Matched,False
54,ATEA AS,NO,Norway,Oslo,Oslo,49d4dea8-8b98-11ec-a4b9-1b0019ee1e60,Atea Finance AS,,NO,Norway,Oslo,Oslo,0579,Karvesvingen,5,http://www.linkedin.com/company/atea-finance-as,,100.0,Matched,False
55,Atea Sverige AB,SE,Sweden,Stockholm County,Stockholms Kommun,c9fab753-93e4-11eb-919a-b3f9a5ad205c,Atea Logistics,Atea Sverige AB.,NO,Norway,Oslo,Oslo,0579,Karvesvingen,5,http://www.linkedin.com/company/atea-logistics-ab,https://atea.com/,100.0,Matched,False
56,NP Investment A/S,DK,Denmark,Capital Region Of Denmark,Hillerød,5e1eacfe-1af9-11ec-9211-addac7307e1d,Np International A/S.,Np International A/S.,DK,Denmark,Capital Region Of Denmark,Copenhagen,1357,Ingrid Marievej,53,,,94.5,Matched,False
57,ATREBO SL,ES,Spain,Andalusia,Guillena,a32a0a45-93e4-11eb-90d2-e3355a7e800b,Atrebo,,ES,Spain,Andalusia,Sevilla,41092,Calle Leonardo Da Vinci,18,https://www.linkedin.com/company/atrebo,https://www.atrebo.com/,100.0,Matched,False
58,AV CENTER AALBORG ApS,DK,Denmark,North Denmark Region,Nørresundby,1927e196-93e5-11eb-9937-4fab995bf8ff,Aalborg Anlægsgartneri,Aalborg Anlægsgartneri ApS.,DK,Denmark,North Denmark Region,Aalborg,9000,Nældevej,70,,https://aalborganlaegsgartneri.dk/,100.0,Matched,False
59,aviat networks bangladesh ltd.,BD,Bangladesh,,,0fc3f2d0-0453-11ed-b02a-97e9d5b4bc17,Aviat Networks,,,,,,,,,,http://aviatservices.com/,80.1,Needs Review,True
60,Aviat Networks Japan LLC,JP,Japan,,,a3b73ba0-c4fc-11ec-b6cb-fdc55dfeae3a,Aviat Networks,,,,,,,,,,https://aviatnetworks.wordpress.com/,97.4,Matched,False
61,AWAN DISTRIBUTION FZC,AE,United Arab Emirates,Sharjah Emirate,Sharjah,90786d2c-93e4-11eb-a33a-a3dfba582839,AWAN DISTRIBUTION,Awan Distribution PVT Ltd. | Awan Distribution Pte Ltd. | Awan Distribution Ltd.,SG,Singapore,Central,Singapore,178957,,,https://www.linkedin.com/company/awandistributionpk,https://awandistribution.com/,89.5,Matched,False
62,Axteq ApS,DK,Denmark,Region Zealand,Greve Strand,dad830c3-93e4-11eb-9937-4fab995bf8ff,Axteq,,US,United States,California,Beverly Hills,90210,Santa Monica Boulevard,,,https://axteq.com/lander,100.0,Matched,False
63,Az-Technology Sdn. Bhd.,MY,Malaysia,Selangor,Petaling Jaya,eea35cb5-1206-11ec-a59d-d5061f333c7e,AZ Technology,AZ-Technology Sdn Bhd.,MY,Malaysia,Selangor,Petaling Jaya,47301,Jalan SS 7/2,97,,https://az-tech.my/,100.0,Matched,False
64,BAE SYSTEMS APPLIED INTELLIGENCE (INTERNATIONAL) LIMITED,GB,United Kingdom,England,Guildford,3ea0da62-8ab7-11ec-ac1c-2de22eb6a532,BAE Systems Applied Intelligence,,GB,United Kingdom,England,Guildford,GU2 7YG,Occam Road,40,,https://www.baesystemsdetica.com/,100.0,Matched,False
65,BASICO P/S,DK,Denmark,Capital Region Of Denmark,Gentofte Municipality,bb360bc2-93e4-11eb-b89f-536884b3e7dd,Basico,,DK,Denmark,Capital Region Of Denmark,Gentofte Municipality,2900,Philip Heymans Alle,3,https://www.linkedin.com/company/basico-ps,https://basico.dk/,100.0,Matched,False
66,"BB CONNECT CO.,LTD.",TH,Thailand,,,d5ca2e9c-1870-11f0-9560-e5d5dd4780a6,BB Connect LATAM,,,,,,,,,https://www.linkedin.com/company/mi-gran-empresa,https://bbconnectlatam.com/,93.8,Matched,False
67,Bb Technology Co Ltd,TH,Thailand,Bangkok,Bangkok,6e4bcefd-115f-11ec-bd3c-8d2e345be4e0,BBtec,BB Technology Co. Ltd.,TH,Thailand,Bangkok,Chatuchak,10900,Kamphaeng Phet 1 Road,499,,https://bbtec.co.th/th,100.0,Matched,False
68,BCD TRAVEL ASIA PACIFIC PTE. LTD.,SG,Singapore,Central,Singapore,19b7bf64-6a16-11ec-b931-3729d84df188,BCD Engineering,BCD Engineering Pte Ltd.,SG,Singapore,Central,Singapore,567761,Ang Mo Kio Industrial Park 2A,20,,http://www.bcdglobal.com.sg/,80.7,Needs Review,True
69,BCD N.V.,NL,Netherlands,Utrecht,Utrecht,05804ba6-93e5-11eb-8859-29e7c34dee35,BCD,BCD Travel LLC. | BCD Travel Europe Holding B.V. | BCD Travel Services B.V. | Business Travel GmbH,NL,Netherlands,Utrecht,Utrecht,3526 KS,Europalaan,300,https://www.linkedin.com/company/bcd-travel,https://www.bcdtravel.com/,100.0,Matched,False
70,BEAT A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,20dcfff1-722a-11ec-b898-29d0f16e5da8,Beat Film,,DK,Denmark,Capital Region Of Denmark,Copenhagen,2100,Kirsteinsgade,2,,http://www.beatfilm.dk/,100.0,Matched,False
71,"Beijing Dynamic Power Co., Ltd",CN,China,Beijing,Fengtai District,d037a93e-18b9-11f0-94fa-471c68e22274,Beijing High-tech Dynamic Power Co. Ltd.,Beijing High-tech Dynamic Power Co. Ltd.,CN,China,Beijing,Fengtai District,100070,,,,https://htdp.com.cn/,100.0,Matched,False
72,BIGID INC.,US,United States,Florida,,1cdc1a43-6dce-11ec-a314-7d00415f726f,BigID,,US,United States,New York,New York,10011,6th Avenue,641,http://www.linkedin.com/company/bigid-me,https://bigid.me/,100.0,Matched,False
73,Binkies Holding B.V.,NL,Netherlands,South Holland,The Hague,25dac426-93e5-11eb-8ad6-7326edce8d21,Binkies 3D,,NL,Netherlands,South Holland,Zoetermeer,2715 CA,Bredewater,26,https://www.linkedin.com/company/binkies,https://binkies3d.com/,95.2,Matched,False
74,BLACKWOOD SEVEN A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,e6451d60-5ad0-11ed-b3f0-a9aeee21398b,BlackWood,BlackWood Ventures ApS. | BlackWood Capital Partners ApS.,DK,Denmark,Capital Region Of Denmark,Copenhagen,2100,Ryvangs Allé,26,http://www.linkedin.com/company/blackwoodvc,http://www.blackwood.vc/,100.0,Matched,False
75,Blom Soefeldt - Erhvervspsykologisk radgivning,DK,Denmark,Capital Region Of Denmark,Copenhagen,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Blom Søefeldt - Erhvervspsykologisk Rådgivning,,DK,Denmark,Capital Region Of Denmark,Copenhagen,1055,August Bournonvilles Passage,1,http://www.linkedin.com/company/blom-s%c3%b8efeldt---erhvervspsykologisk-r%c3%a5dgivning,https://blomsoefeldt.dk/,100.0,Matched,False
76,BOOST AI AS,NO,Norway,Rogaland,Sandnes,f6ae0b86-93e4-11eb-91fb-73d498260b10,Boost,,NO,Norway,Rogaland,Sandnes,4313,Grenseveien,21,https://www.linkedin.com/company/boost-ai,https://boost.ai/,100.0,Matched,False
77,Bording Danmark A/S,DK,Denmark,Capital Region Of Denmark,Glostrup,a80097e2-aeff-11ef-a550-45d601d5781f,Bording Dannmark A/S.,Bording Dannmark A/S.,DK,Denmark,Capital Region Of Denmark,Hvidovre Municipality,2650,Kanalholmen,16L,,https://julemaerkelotteri.dk/,100.0,Matched,False
78,Braathens Regional Airways AB,SE,Sweden,Stockholm County,Stockholm,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,BRAATHENS REGIONAL AIRWAYS AB.,BRAATHENS REGIONAL AIRWAYS AB.,SE,Sweden,Västra Götaland County,Trollhättan,46193,,,http://www.linkedin.com/company/braathens-regional-airways-ab,,100.0,Matched,False
79,BRAINCHILD COMMUNICATIONS PAKISTAN (PVT.) LIMITED,PK,Pakistan,,,efc08410-93e4-11eb-a746-fdabd18be9c6,Brainchild Communications Pakistan,Brainchild Communications Pakistan Pvt Limited,PK,Pakistan,Sindh,Karachi Division,75600,,,https://www.linkedin.com/company/bcppk,https://brainchild.net/,100.0,Matched,False
80,Brobizz A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,f6c033f6-93e4-11eb-8859-29e7c34dee35,Brobizz,Brobizz A/S.,DK,Denmark,Capital Region Of Denmark,Copenhagen,1601,Vester Søgade,10,https://www.linkedin.com/company/brobizz-a-s,https://brobizz.com/,100.0,Matched,False
81,BUNDGAARD KOLETEKNIK. VEJLE A/S,DK,Denmark,Region Of Southern Denmark,Vejle,91a6c984-27a7-11ef-ba21-2b94af863263,Bundgaard Køleteknik A/S.,Bundgaard Køleteknik A/S.,DK,Denmark,Region Of Southern Denmark,Vejle,7100,Sadelmagervej,19,,,100.0,Matched,False
82,Bynder Holding B.V.,NL,Netherlands,North Holland,Amsterdam,2a0c38dd-93e5-11eb-8474-3bbe2d07207d,Bynder,Bynder BV. | Bynder Pty Ltd. | Bynder Limited,NL,Netherlands,North Holland,Amsterdam,1017 MB,Max Euweplein,46,https://www.linkedin.com/company/bynder,https://www.bynder.com/en/,90.0,Matched,False
83,C&W Services (S) Pte. Ltd.,SG,Singapore,Central,Singapore,2d5be122-0a6a-11ec-b841-af64738d2bcd,CW Aero Services,CW Aero Services Pte Ltd.,SG,Singapore,Central,Singapore,797547,Seletar Aerospace Heights,1,https://www.linkedin.com/company/cw_aeroservices-pte-ltd,https://cwaeroservices.com/,100.0,Matched,False
84,CAMPANA GROUP PTE. LTD.,SG,Singapore,Southeast,,73d641b5-93e4-11eb-91fb-73d498260b10,Campana Group,Campana Group Private Limited,SG,Singapore,Southeast,,486066,Changi Business Park Central 2,51,https://www.linkedin.com/company/campana-group,https://campanaworks.com/,100.0,Matched,False
85,CBRE AS,NO,Norway,Oslo,Oslo,9dc12706-93e4-11eb-8e19-198fb02d6f96,CBRE Norway,,NO,Norway,Oslo,Oslo,0250,Bryggegata,9,https://www.linkedin.com/company/cbre-norway,https://www.cbre.no/,84.4,Needs Review,True
86,CBRE Teknisk Servicepartner A/S,DK,Denmark,North Denmark Region,Aalborg,57918a20-a8bb-11ed-9a6b-af642bb25f66,CBRE Teknisk servicepartner,CBRE Teknisk servicepartner A/S.,DK,Denmark,North Denmark Region,Aalborg,9000,Blytækkervej,1-7,https://www.linkedin.com/company/cbre-teknisk-servicepartner,https://cbre-tekniskservicepartner.dk/,100.0,Matched,False
87,CELLUSYS LIMITED,IE,Ireland,Leinster,Dublin 1,7dadf0c6-93e4-11eb-8474-3bbe2d07207d,Zariot,CELLUSYS IoT SARL,IE,Ireland,Leinster,Dublin,D01 H304,Bachelors Walk,7,https://www.linkedin.com/company/zariot1,https://www.zariot.com/,100.0,Matched,False
